                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.74601,                0.44614,                 1.1097,                0.73028,                0.80039,                0.80097,                0.62013,                0.93486,                0.58858,                 1.2798,             0.00036307,             0.00036307,             0.00036307
                     70,                0.76995,                0.46407,                 1.1239,                0.78973,                0.75116,                0.79498,                0.61514,                0.93925,                0.60704,                 1.3076,             0.00035208,             0.00035208,             0.00035208
                     71,                0.75503,                0.44332,                   1.13,                0.76646,                0.79385,                0.80173,                0.61274,                0.93704,                0.57429,                  1.292,             0.00034108,             0.00034108,             0.00034108
                     72,                0.73574,                0.43798,                 1.1168,                0.74432,                0.77422,                0.80438,                0.62671,                0.92376,                 0.5899,                 1.2808,             0.00033008,             0.00033008,             0.00033008
                     73,                0.74399,                0.43585,                 1.1155,                  0.729,                0.83926,                0.83744,                0.65454,                0.89838,                0.54499,                 1.2525,             0.00031908,             0.00031908,             0.00031908
                     74,                 0.7389,                0.43278,                 1.1152,                0.76881,                0.82126,                0.83751,                0.64555,                0.93114,                0.54943,                 1.3055,             0.00030808,             0.00030808,             0.00030808
                     75,                0.73902,                0.44471,                 1.1213,                0.74732,                0.77468,                0.82175,                0.64025,                0.91812,                0.58361,                 1.2758,             0.00029708,             0.00029708,             0.00029708
                     76,                 0.7359,                0.43249,                 1.1094,                0.76493,                0.76447,                0.84829,                0.65963,                0.89894,                0.56467,                 1.2472,             0.00028608,             0.00028608,             0.00028608
                     77,                0.72551,                0.42484,                 1.1086,                0.75246,                0.81886,                0.84892,                0.65755,                0.92126,                0.54428,                 1.3006,             0.00027508,             0.00027508,             0.00027508
                     78,                0.70955,                0.42403,                 1.0967,                0.79968,                0.83097,                0.84928,                0.66628,                0.91073,                0.55507,                 1.2943,             0.00026408,             0.00026408,             0.00026408
                     79,                0.71582,                0.41235,                 1.0967,                0.84553,                0.77339,                0.83312,                0.65493,                0.88321,                0.57971,                 1.2378,             0.00025309,             0.00025309,             0.00025309
                     80,                0.70755,                0.41884,                 1.0954,                0.80755,                0.80417,                0.86126,                0.67588,                0.91098,                0.52575,                 1.2879,             0.00024209,             0.00024209,             0.00024209
                     81,                0.69976,                0.42474,                 1.0999,                0.87709,                0.78506,                0.86235,                0.67953,                0.87879,                0.51482,                 1.2605,             0.00023109,             0.00023109,             0.00023109
                     82,                0.69305,                0.41394,                 1.0929,                0.87742,                0.79185,                0.86829,                  0.691,                 0.8541,                0.50925,                 1.2427,             0.00022009,             0.00022009,             0.00022009
                     83,                0.70065,                0.40659,                  1.093,                0.81294,                0.79269,                0.85378,                0.67678,                0.88031,                0.51834,                 1.2834,             0.00020909,             0.00020909,             0.00020909
                     84,                0.67558,                 0.3878,                 1.0829,                0.86907,                0.77997,                0.87086,                0.68331,                0.88868,                0.54882,                 1.2756,             0.00019809,             0.00019809,             0.00019809
                     85,                0.69234,                0.40047,                 1.0911,                0.79856,                0.83672,                0.86396,                0.68042,                0.87434,                0.52019,                 1.2744,             0.00018709,             0.00018709,             0.00018709
                     86,                0.72137,                0.39774,                 1.1107,                0.79857,                0.85649,                0.87094,                0.68831,                0.87654,                0.53076,                 1.2702,             0.00017609,             0.00017609,             0.00017609
                     87,                0.67671,                0.38037,                 1.0878,                0.86161,                0.79016,                0.88177,                0.69904,                0.86895,                0.50575,                 1.2575,             0.00016509,             0.00016509,             0.00016509
                     88,                0.68231,                0.38578,                 1.0854,                0.93152,                0.75445,                0.85932,                0.68537,                0.87587,                 0.5211,                 1.2568,              0.0001541,              0.0001541,              0.0001541
                     89,                0.65954,                0.37551,                 1.0706,                0.82699,                0.81468,                0.84628,                0.67538,                0.86302,                0.52481,                 1.2595,              0.0001431,              0.0001431,              0.0001431
                     90,                0.67187,                0.38371,                 1.0803,                 0.8629,                0.76847,                0.85544,                0.68497,                0.85932,                0.50949,                 1.2611,              0.0001321,              0.0001321,              0.0001321
                     91,                 0.6522,                 0.3247,                 1.1108,                0.84813,                0.75571,                0.83345,                0.65105,                0.89702,                0.54245,                 1.3071,              0.0001211,              0.0001211,              0.0001211
                     92,                0.63133,                0.30773,                 1.1043,                0.81965,                0.76146,                0.82629,                0.64489,                0.89086,                0.55129,                 1.2861,              0.0001101,              0.0001101,              0.0001101
                     93,                0.61136,                0.29783,                 1.0861,                0.90272,                0.73149,                0.82373,                0.64403,                0.87987,                0.57286,                 1.2829,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.61553,                0.29579,                 1.0799,                0.84454,                0.80737,                 0.8536,                0.66888,                0.87197,                0.52104,                 1.2854,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.60607,                0.28608,                  1.092,                 0.8363,                0.76022,                 0.8341,                0.65448,                0.87972,                0.54701,                 1.2928,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.59655,                0.28523,                 1.0785,                 0.8701,                0.78323,                0.85675,                0.67277,                0.85842,                0.51896,                 1.2583,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.59066,                0.28378,                 1.0576,                0.80087,                0.83864,                0.85791,                0.67327,                0.86782,                0.51446,                 1.2763,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.58026,                0.27618,                 1.0608,                0.86782,                0.78057,                0.85631,                0.66997,                0.87045,                0.51159,                 1.2847,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.58708,                0.28101,                 1.0623,                0.87276,                0.78783,                0.84387,                0.66448,                0.87258,                0.52955,                 1.2839,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.57036,                0.26744,                 1.0504,                0.84717,                0.78958,                0.84683,                0.67014,                0.86147,                0.52418,                 1.2824,             2.2109e-05,             2.2109e-05,             2.2109e-05
